,loss,accuracy,val_loss,val_accuracy
0,0.6337088942527771,0.7456890940666199,0.3725094795227051,0.8341168165206909
1,0.329264372587204,0.854798436164856,0.29580581188201904,0.8717370629310608
2,0.2689490020275116,0.8848643898963928,0.26020821928977966,0.8894797563552856
3,0.23750704526901245,0.8998687267303467,0.23687584698200226,0.9003357887268066
4,0.21021084487438202,0.9129315614700317,0.21991242468357086,0.9088529348373413
5,0.1913086324930191,0.9215751886367798,0.20941558480262756,0.9139536023139954
6,0.17841504514217377,0.9272692203521729,0.20268447697162628,0.9167986512184143
7,0.16738831996917725,0.9320126175880432,0.19706682860851288,0.9198964238166809
8,0.15846191346645355,0.9357956647872925,0.19250299036502838,0.9217382669448853
9,0.15223462879657745,0.9383820295333862,0.19381865859031677,0.9217865467071533
